,subject,verb,object,hindaja1
0,pisiasi,iseloomustama,kestvus,yes
1,kestvus,iseloomustama,pisiasi,yes
2,Marko,tundma,hirm,yes
3,hirm,tundma,Marko,no
4,päev,nägema,milline,no
5,milline,nägema,päev,no
6,mees,saama,katsumus,yes
7,katsumus,saama,mees,no
8,õli,valama,tuli,no
9,tuli,valama,õli,no
10,suhe,paiskama,kriis,no
11,kriis,paiskama,suhe,no
12,tema,tekitama,kahi,yes
13,kahi,tekitama,tema,no
14,sõbranna,õpetama,sõna,yes
15,sõna,õpetama,sõbranna,no
16,omanik,andma,otsustusõigus,yes
17,otsustusõigus,andma,omanik,no
18,abikaasa,panema,silm,yes
19,silm,panema,abikaasa,no
20,mina,rääkima,mõlema,yes
21,mõlema,rääkima,mina,no
22,mis,jääma,muu,yes
23,muu,jääma,mis,no
24,lemmik,uudistama,tulija,yes
25,tulija,uudistama,lemmik,yes
26,lennupilet,maksma,kroon,yes
27,kroon,maksma,lennupilet,no
28,kasvataja,kompenseerima,puudujääk,yes
29,puudujääk,kompenseerima,kasvataja,no
30,keskkool,võtma,mall,yes
31,mall,võtma,keskkool,no
32,keegi,saama,kiri,yes
33,kiri,saama,keegi,no
34,igaüks,märkama,reklaam,yes
35,reklaam,märkama,igaüks,no
36,sina,kinkima,mis,yes
37,mis,kinkima,sina,no
38,resolutsioon,kohustama,tema,yes
39,tema,kohustama,resolutsioon,no
40,fänn,kandma,loosung,yes
41,loosung,kandma,fänn,no
42,Alar,andma,arm,yes
43,arm,andma,Alar,no
44,miski,õigustama,vägivald,yes
45,vägivald,õigustama,miski,yes
46,hoiatus,kajastama,seisukoht,yes
47,seisukoht,kajastama,hoiatus,no
48,muutus,näitama,mõju,yes
49,mõju,näitama,muutus,yes
50,eestlane,tegema,äri,yes
51,äri,tegema,eestlane,no
52,roos,kaunistama,kirik,yes
53,kirik,kaunistama,roos,no
54,nälg,lükkama,globaliseerumine,no
55,globaliseerumine,lükkama,nälg,no
56,mina,korjama,see,yes
57,see,korjama,mina,no
58,klient,saama,kroon,yes
59,kroon,saama,klient,no
60,ühendus,panema,äriplaan,yes
61,äriplaan,panema,ühendus,no
62,rahvas,valima,poliitika,yes
63,poliitika,valima,rahvas,no
64,suursaadik,seletama,seis,yes
65,seis,seletama,suursaadik,no
66,haridusministeerium,valima,tee,yes
67,tee,valima,haridusministeerium,no
68,kroon,tasandama,lõhe,yes
69,lõhe,tasandama,kroon,no
70,see,kontrollima,kuju,yes
71,kuju,kontrollima,see,no
72,koolijuht,laiutama,käsi,yes
73,käsi,laiutama,koolijuht,no
74,Ülle,võtma,suund,yes
75,suund,võtma,Ülle,no
76,sõrmus,maksma,kroon,yes
77,kroon,maksma,sõrmus,no
78,kriitika,tõmbama,paralleel,yes
79,paralleel,tõmbama,kriitika,no
80,surmahirm,valdama,inimene,yes
81,inimene,valdama,surmahirm,no
82,mina,armastama,rattasõit,yes
83,rattasõit,armastama,mina,no
84,loom,vajama,luu,yes
85,luu,vajama,loom,no
86,teadlane,tegema,töö,yes
87,töö,tegema,teadlane,no
88,vanaisa,säästma,raha,yes
89,raha,säästma,vanaisa,yes
90,kohus,ennistama,Jüri,yes
91,Jüri,ennistama,kohus,no
92,pisik,jätma,auk,yes
93,auk,jätma,pisik,no
94,keegi,tooma,miski,yes
95,miski,tooma,keegi,yes
96,tema,esitlema,plakat,yes
97,plakat,esitlema,tema,no
98,professor,pidama,muutumine,yes
99,muutumine,pidama,professor,no
100,mina,ajama,Paide,yes
101,Paide,ajama,mina,no
102,inspektor,tegema,akt,yes
103,akt,tegema,inspektor,no
104,tema,armastama,mina,yes
105,mina,armastama,tema,yes
106,ametnik,toetama,reformikava,yes
107,reformikava,toetama,ametnik,no
108,mina,kirjutama,lugu,yes
109,lugu,kirjutama,mina,no
110,ülemus,sõimama,nägu,yes
111,nägu,sõimama,ülemus,no
112,tema,pidama,leidmine,yes
113,leidmine,pidama,tema,no
114,ühend,ajama,kompass,no
115,kompass,ajama,ühend,no
116,sõdur,heitma,pilk,yes
117,pilk,heitma,sõdur,no
118,maailmasõda,maksma,eksistents,yes
119,eksistents,maksma,maailmasõda,no
120,langemine,tõmbama,Euroopa,no
121,Euroopa,tõmbama,langemine,no
122,kolmandik,ostma,miski,yes
123,miski,ostma,kolmandik,no
124,tema,jagama,aeg,yes
125,aeg,jagama,tema,no
126,Marko,järgima,maitse,yes
127,maitse,järgima,Marko,no
128,mina,panema,nimi,yes
129,nimi,panema,mina,no
130,tema,pidama,mees,yes
131,mees,pidama,tema,yes
132,väljakutse,tingima,see,yes
133,see,tingima,väljakutse,yes
134,instants,jätma,nõue,no
135,nõue,jätma,instants,no
136,mina,tundma,see,yes
137,see,tundma,mina,yes
138,ema,süüdistama,kool,yes
139,kool,süüdistama,ema,no
140,töötaja,blokeerima,otsus,yes
141,otsus,blokeerima,töötaja,yes
142,Julia,teadma,miski,yes
