,subject,verb,object,hinnang
0,kotkas,kasvatama,poja,yes
1,poja,kasvatama,kotkas,yes
2,ema,õpetama,tütar,yes
3,tütar,õpetama,ema,yes
4,suhtumine,imponeerima,aeg,no
5,aeg,imponeerima,suhtumine,no
6,mina,ostma,maja,yes
7,maja,ostma,mina,no
8,välk,tapma,lehm,yes
9,lehm,tapma,välk,no
10,proua,uurima,ajalugu,yes
11,ajalugu,uurima,proua,no
12,ponnistus,kandma,vili,yes
13,vili,kandma,ponnistus,no
14,pensionär,andma,toon,yes
15,toon,andma,pensionär,no
16,tootja,otsima,turg,yes
17,turg,otsima,tootja,yes
18,paljastus,peibutama,ostja,yes
19,ostja,peibutama,paljastus,no
20,areng,saavutama,tase,yes
21,tase,saavutama,areng,no
22,see,tooma,seiskumine,yes
23,seiskumine,tooma,see,yes
24,kabinet,vähendama,norm,yes
25,norm,vähendama,kabinet,no
26,firma,teenima,kasum,yes
27,kasum,teenima,firma,no
28,tema,tarvitama,narkootikum,yes
29,narkootikum,tarvitama,tema,no
30,tema,ajama,jälg,yes
31,jälg,ajama,tema,no
32,tapmine,shokeerima,ühiskond,yes
33,ühiskond,shokeerima,tapmine,no
34,see,tähendama,hoone,yes
35,hoone,tähendama,see,yes
36,Vähi,mängima,olukord,yes
37,olukord,mängima,Vähi,no
38,kolmveerand,jagama,kirg,yes
39,kirg,jagama,kolmveerand,no
40,õhtupoolik,ajama,luik,yes
41,luik,ajama,õhtupoolik,no
42,sina,eelistama,keel,yes
43,keel,eelistama,sina,no
44,tema,armastama,kirjandus,yes
45,kirjandus,armastama,tema,no
46,see,looma,vaimsus,yes
47,vaimsus,looma,see,yes
48,mina,usaldama,pilt,yes
49,pilt,usaldama,mina,no
50,suundumus,soodustama,teke,yes
51,teke,soodustama,suundumus,no
52,revolutsioon,lõpetama,eksistents,yes
53,eksistents,lõpetama,revolutsioon,yes
54,prussakas,moodustama,meeskond,yes
55,meeskond,moodustama,prussakas,no
56,väide,jääma,kõrv,yes
57,kõrv,jääma,väide,no
58,sina,hindama,kes,yes
59,kes,hindama,sina,yes
60,loomus,ajama,noormees,no
61,noormees,ajama,loomus,no
62,seik,siduma,järeltulija,no
63,järeltulija,siduma,seik,no
