,adjective,noun,hinnang
0,tarvilik,tingimus,yes
1,hädavajalik,tingimus,yes
2,suur,aed,yes
3,kõrge,aed,yes
4,maailmavaateline,erinevus,yes
5,filosoofiline,erinevus,yes
6,väike,kass,yes
7,noor,kass,yes
8,uus,aastatuhat,yes
9,originaalne,aastatuhat,no
10,tajutav,aeg,yes
11,endastmõistetav,aeg,no
12,niiske,vagu,yes
13,kleepuv,vagu,yes
14,absoluutne,tipp,yes
15,lõputu,tipp,no
16,moodne,infrastruktuur,yes
17,kaasaegne,infrastruktuur,yes
18,suhtlev,arst,yes
19,seltskondlik,arst,yes
20,mõnus,autosõit,yes
21,meeldiv,autosõit,yes
22,endine,lapsehoidja,yes
23,omaaegne,lapsehoidja,yes
24,rahakas,ettevõtja,yes
25,rikas,ettevõtja,yes
26,markantne,näide,yes
27,huvitav,näide,yes
28,tüüpiline,taust,yes
29,iseloomulik,taust,yes
30,suur,pind,yes
31,lai,pind,yes
32,demokraatlik,süsteem,yes
33,kodanlik,süsteem,yes
34,poliitiline,tõekspidamine,yes
35,riiklik,tõekspidamine,no
36,uus,teadmine,yes
37,originaalne,teadmine,yes
38,kodune,tingimus,yes
39,meeldiv,tingimus,yes
40,absoluutne,enamus,yes
41,lõputu,enamus,no
42,suur,energia,yes
43,kõrge,energia,yes
44,viimane,lollus,yes
45,püsiv,lollus,yes
46,vajalik,paber,yes
47,hädavajalik,paber,yes
48,elujõuline,tehas,yes
49,elav,tehas,yes
50,ametlik,kommentaar,yes
51,pidulik,kommentaar,yes
52,saabuv,inimene,yes
53,homne,inimene,no
54,anonüümne,haigla,yes
55,teadmata,haigla,yes
56,poliitiline,vastane,yes
57,riiklik,vastane,yes
58,ajalooline,tõsiasi,yes
59,keskaegne,tõsiasi,yes
60,juriidiline,alune,yes
61,administratiivne,alune,yes
62,pikk,loetelu,yes
63,kauge,loetelu,no
64,endine,hoone,yes
65,läinud,hoone,no
66,viimane,sõjaväelane,yes
67,püsiv,sõjaväelane,yes
68,suur,ambitsioon,yes
69,kõrge,ambitsioon,yes
70,mõttetu,lause,yes
71,tobe,lause,yes
72,mõtlik,toon,yes
73,tõsine,toon,yes
74,ideoloogiline,elu,yes
75,filosoofiline,elu,yes
76,pikk,lood,yes
77,kauge,lood,no
78,kasvav,aktiivsus,yes
79,edenev,aktiivsus,no
80,vaimne,plaan,yes
81,intellektuaalne,plaan,yes
82,võluv,daam,yes
83,ilus,daam,yes
84,puuduv,lõvi,yes
85,läinud,lõvi,yes
86,poliitiline,värving,yes
87,riiklik,värving,yes
88,hädavajalik,hind,yes
89,vajalik,hind,yes
90,keeruline,inimene,yes
91,mõtlemapanev,inimene,yes
92,järgmine,etapp,yes
93,järgnev,etapp,yes
94,ühiskondlik,tähelepanu,yes
95,avalik,tähelepanu,yes
96,vajalik,summa,yes
97,hädavajalik,summa,yes
98,sundimatu,süsteem,yes
99,mitteametlik,süsteem,yes
100,kahekordne,n****,no
101,korduv,n****,no
102,väike,mõõde,yes
103,noor,mõõde,no
104,uus,trikk,yes
105,originaalne,trikk,yes
106,kodune,diivan,yes
107,mitteametlik,diivan,no
108,poliitiline,maailm,yes
109,riiklik,maailm,no
110,suur,järv,yes
111,sügav,järv,yes
112,kristlik,ellusuhtumine,yes
113,liberaalne,ellusuhtumine,yes
114,ideeline,eesmärk,yes
115,abstraktne,eesmärk,yes
116,riiklik,investeering,yes
117,riigisisene,investeering,yes
118,lähenev,ema,yes
119,homne,ema,no
120,suur,ehmatus,yes
121,sügav,ehmatus,no
122,poliitiline,vastutus,yes
123,riiklik,vastutus,yes
124,vajalik,infrastruktuur,yes
125,hädavajalik,infrastruktuur,yes
126,sõbralik,konkurents,yes
127,isalik,konkurents,no
128,kõrge,aed,yes
129,mitmekorruseline,aed,yes
130,uus,peasekretär,yes
131,originaalne,peasekretär,yes
132,analoogne,katse,yes
133,sarnane,katse,yes
134,lõplik,hääletamine,yes
135,viimane,hääletamine,yes
136,sotsiaalne,saavutus,yes
137,seltsiv,saavutus,no
138,järgmine,tükk,yes
139,järgnev,tükk,yes
140,otsekohene,õigus,no
141,konkreetne,õigus,yes
142,negatiivne,tähendus,yes
143,elektriline,tähendus,no
144,eelnev,aasta,yes
145,eelmine,aasta,yes
146,kasvav,vajadus,yes
147,edenev,vajadus,no
148,ühesugune,väljanägemine,yes
149,sarnane,väljanägemine,yes
150,ideoloogiline,filter,yes
151,filosoofiline,filter,yes
152,õiguslik,kaos,yes
153,konstitutsiooniline,kaos,yes
154,suur,potentsiaal,yes
155,kõrge,potentsiaal,yes
156,mõistetav,inimene,yes
157,arusaadav,inimene,yes
158,elus,vaatamine,no
159,alaline,vaatamine,yes
160,soliidne,kõht,yes
161,auväärne,kõht,no
162,vastav,register,yes
163,asjatundlik,register,no
164,ekstravertne,tüüp,yes
165,seltsiv,tüüp,yes
166,rahvuslik,temperament,yes
167,etniline,temperament,yes
168,moraalne,kood,yes
169,eetiline,kood,yes
170,lugupeetud,kodanik,yes
171,esinduslik,kodanik,yes
172,pikk,suhtlus,yes
173,kauge,suhtlus,no
174,kunagine,seisukohavõtt,yes
175,omaaegne,seisukohavõtt,yes
176,tuttuus,eramu,yes
177,uus,eramu,yes
178,peamine,lootus,yes
179,eriline,lootus,yes
180,ajalooline,areng,yes
181,keskaegne,areng,yes
182,uus,trükk,yes
183,originaalne,trükk,yes
184,ebamugav,koorem,yes
185,tume,koorem,yes
186,konfidentsiaalne,mina,no
187,lähedane,mina,yes
188,täiuslik,seks,yes
189,ideaalne,seks,yes
190,uus,hitt,yes
191,originaalne,hitt,yes
192,kaine,autojuht,yes
193,realistlik,autojuht,yes
194,uus,žürii,yes
