,sentence,adjective,noun,hinnang
0,"Euroopa Uniooniga seoses on juba palju usutlusi tehtud ja hinnanguid antud , kuid need hinnangud on <<<ADJ kombel seotud peamiselt meie majandusnäitajatega .",kahetsusväärne,komme,yes
1,"Euroopa Uniooniga seoses on juba palju usutlusi tehtud ja hinnanguid antud , kuid need hinnangud on <<<ADJ kombel seotud peamiselt meie majandusnäitajatega .",õnnetu,komme,yes
2,"Nii kui ilmuvad esimesed märgid rahulolevatest meestest , riputavad <<<ADJ isikud tänavatele vägivalda õhutavad plakatid - kujutagu need siis tikk-kontsaga mehi ründavat tarka naist või mõnda teist mõttehiiglast .",vastutustundetu,isik,yes
3,"Nii kui ilmuvad esimesed märgid rahulolevatest meestest , riputavad <<<ADJ isikud tänavatele vägivalda õhutavad plakatid - kujutagu need siis tikk-kontsaga mehi ründavat tarka naist või mõnda teist mõttehiiglast .",kergemeelne,isik,yes
4,"Oldman nimetab naist “ <<<ADJ narkomaaniks ja valetajaks ” ning väidab , et mingeid vägivallastseene pole kunagi olnud .",lootusetu,narkomaan,yes
5,"Oldman nimetab naist “ <<<ADJ narkomaaniks ja valetajaks ” ning väidab , et mingeid vägivallastseene pole kunagi olnud .",kriitiline,narkomaan,no
6,” Reiljanite koduõuel on kõrvalmaja - <<<ADJ kamina- ja trofeesaal .,hubane,kamin,yes
7,” Reiljanite koduõuel on kõrvalmaja - <<<ADJ kamina- ja trofeesaal .,kodune,kamin,no
8,"Ühest küljest on kõik õnnelikud , et Cannes'is on näidatud hipide kultusefilmi “ Easy Rider ” ja et just “ Pulp Fiction ” sai 1995. aastal Kuldse Palmioksa , kuid samas vallandasid filmiesteedid väheesteetilise sõimu , kui 1973. aastal näidati Marco Ferreri filmi “ La Grande Bouffe ” ( “ <<<ADJ söömaaeg ” ) , mis rääkis sellest , kuidas mõned mehed end surnuks sõid .",suur,söömaaeg,yes
9,"Ühest küljest on kõik õnnelikud , et Cannes'is on näidatud hipide kultusefilmi “ Easy Rider ” ja et just “ Pulp Fiction ” sai 1995. aastal Kuldse Palmioksa , kuid samas vallandasid filmiesteedid väheesteetilise sõimu , kui 1973. aastal näidati Marco Ferreri filmi “ La Grande Bouffe ” ( “ <<<ADJ söömaaeg ” ) , mis rääkis sellest , kuidas mõned mehed end surnuks sõid .",sügav,söömaaeg,no
