,adjective,noun,
0,närviline,klient,yes
1,konfliktne,klient,yes
2,hallipäine,poliitik,yes
3,vana,poliitik,yes
4,suur,prioriteet,Yes
5,sügav,prioriteet,No
6,ametlik,põhjus,Yes
7,bürokraatlik,põhjus,Yes
8,toonane,kaitseminister,Yes
9,omaaegne,kaitseminister,Yes
10,uus,valgus,Yes
11,originaalne,valgus,Yes
12,ränk,uudis,Yes
13,karm,uudis,Yes
14,lahe,atmosfäär,Yes
15,kodune,atmosfäär,Yes
16,lahe,seltskond,Yes
17,mitteametlik,seltskond,No
18,pikk,ametnik,Yes
19,kauge,ametnik,Yes
20,uus,ime,Yes
21,originaalne,ime,Yes
22,toimiv,süsteem,Yes
23,interaktiivne,süsteem,Yes
24,peamine,idee,Yes
25,eriline,idee,Yes
26,terviklik,toode,Yes
27,terve,toode,Yes
28,uus,mängufilm,Yes
29,originaalne,mängufilm,Yes
30,otsene,kulu,Yes
31,esmane,kulu,Yes
32,ammune,sõprus,Yes
33,vana,sõprus,Yes
34,suur,puudus,Yes
35,sügav,puudus,Yes
36,lennukas,mõte,Yes
37,kiire,mõte,Yes
38,ideoloogiline,pind,No
39,filosoofiline,pind,Yes
40,võimekas,muulane,Yes
41,loov,muulane,Yes
42,ammune,häda,Yes
43,vana,häda,Yes
44,riiklik,direktor,Yes
45,riigisisene,direktor,No
46,keskmine,intelligents,Yes
47,leplik,intelligents,No
48,uus,kasvaja,Yes
49,originaalne,kasvaja,No
50,kunagine,oskus,Yes
51,omaaegne,oskus,Yes
52,nähtamatu,osapool,Yes
53,tihe,osapool,No
54,arvatav,asukoht,Yes
55,ootuspärane,asukoht,Yes
56,tulev,hinnang,Yes
57,järgmine,hinnang,Yes
58,kristlik,demokraat,Yes
59,liberaalne,demokraat,Yes
60,otsene,mõte,No
61,esmane,mõte,Yes
62,pingeline,töö,Yes
63,ärev,töö,Yes
64,keeruline,armusuhe,Yes
65,mõtlemapanev,armusuhe,No
66,operatiivne,kontroll,Yes
67,ettevõtlik,kontroll,No
68,demokraatlik,kord,Yes
69,kodanlik,kord,Yes
70,regionaalne,probleem,Yes
71,territoriaalne,probleem,No
72,riiklik,kuritegu,Yes
73,poliitiline,kuritegu,Yes
74,viimne,vint,No
75,viimane,vint,Yes
76,absoluutne,langus,No
77,lõputu,langus,Yes
78,pikk,tingimus,Yes
79,kauge,tingimus,No
80,ühiskondlik,seisukoht,Yes
81,avalik,seisukoht,Yes
82,viimane,koolipäev,Yes
83,püsiv,koolipäev,No
84,kaasaegne,kaubandus,Yes
85,popp,kaubandus,No
86,aus,firma,Yes
87,otsekohene,firma,No
88,õiglane,hind,Yes
89,aus,hind,Yes
