,subject,verb,object,hindaja1
0,Hodorkovski,panema,alune,yes
1,alune,panema,Hodorkovski,no
2,tema,veeretama,pall,yes
3,pall,veeretama,tema,no
4,teema,soodustama,mulje,yes
5,mulje,soodustama,teema,no
6,jumal,hoidma,mina,yes
7,mina,hoidma,jumal,no
8,president,kiitma,pommitamine,yes
9,pommitamine,kiitma,president,no
10,mina,laskma,hind,yes
11,hind,laskma,mina,no
12,pääsemine,ületama,ootus,no
13,ootus,ületama,pääsemine,no
14,ajalugu,pakkuma,näide,yes
15,näide,pakkuma,ajalugu,no
16,proua,juhatama,külaline,yes
17,külaline,juhatama,proua,yes
18,sina,tegema,mis,yes
19,mis,tegema,sina,no
20,üks,segama,teine,yes
21,teine,segama,üks,yes
22,mina,andma,laen,yes
23,laen,andma,mina,no
24,hotell,jätma,mulje,yes
25,mulje,jätma,hotell,no
26,areng,erutama,tema,yes
27,tema,erutama,areng,no
28,legend,mahutama,kõik,yes
29,kõik,mahutama,legend,yes
30,elukaaslane,tooma,beebi,yes
31,beebi,tooma,elukaaslane,no
32,inimsuhe,huvitama,kes,yes
33,kes,huvitama,inimsuhe,no
34,välisminister,jagama,selgitus,yes
35,selgitus,jagama,välisminister,no
36,taasiseseisvumine,tegema,tulirelv,no
37,tulirelv,tegema,taasiseseisvumine,no
38,see,kergendama,süda,yes
39,süda,kergendama,see,no
40,ema,hoidma,mina,yes
41,mina,hoidma,ema,yes
42,buldooser,lükkama,maja,yes
43,maja,lükkama,buldooser,no
44,peatoimetaja,pidama,tuntus,yes
45,tuntus,pidama,peatoimetaja,no
46,lehekülg,palkama,turvamees,no
47,turvamees,palkama,lehekülg,no
48,inimene,nägema,unenägu,yes
49,unenägu,nägema,inimene,no
50,see,pidama,ise,yes
51,ise,pidama,see,yes
52,tema,võtma,termin,yes
53,termin,võtma,tema,no
54,mina,tajuma,puue,yes
55,puue,tajuma,mina,no
56,sina,saama,aru,yes
57,aru,saama,sina,no
58,sina,lülitama,ise,yes
59,ise,lülitama,sina,yes
60,komisjon,teadma,miski,yes
61,miski,teadma,komisjon,no
62,keegi,ütlema,miski,yes
63,miski,ütlema,keegi,no
64,tema,looma,ettevõte,yes
65,ettevõte,looma,tema,no
66,kolmandik,leidma,töö,yes
67,töö,leidma,kolmandik,no
68,politsei,kõrvaldama,kassett,yes
69,kassett,kõrvaldama,politsei,no
70,mina,tegema,plaan,yes
71,plaan,tegema,mina,no
72,pilv,võtma,ühendus,no
73,ühendus,võtma,pilv,no
74,peategelane,lahendama,küsimus,yes
75,küsimus,lahendama,peategelane,no
76,mina,otsima,keegi,yes
77,keegi,otsima,mina,yes
78,sina,mõtlema,toit,yes
79,toit,mõtlema,sina,no
80,soomlane,haistma,shanss,yes
81,shanss,haistma,soomlane,no
82,mis,pakkuma,mõtlemisaine,yes
83,mõtlemisaine,pakkuma,mis,no
84,puudumine,pidurdama,areng,yes
85,areng,pidurdama,puudumine,no
86,tema,kirjutama,raamat,yes
87,raamat,kirjutama,tema,no
88,keegi,valima,vanem,yes
89,vanem,valima,keegi,yes
90,mina,patrama,mis,yes
91,mis,patrama,mina,no
92,asetäitja,informeerima,delegaat,yes
93,delegaat,informeerima,asetäitja,yes
94,instruktor,juhtima,pataljon,yes
95,pataljon,juhtima,instruktor,no
96,valimine,tooma,reaktsioon,yes
97,reaktsioon,tooma,valimine,no
98,Hiina,säilitama,Hongkong,yes
99,Hongkong,säilitama,Hiina,yes
100,Mati,armastama,publik,yes
101,publik,armastama,Mati,yes
102,pianist,ostma,maastur,yes
103,maastur,ostma,pianist,no
104,tema,saatma,telegramm,yes
105,telegramm,saatma,tema,no
106,peremees,saama,käpp,yes
107,käpp,saama,peremees,no
108,saarlane,varjama,ambitsioon,yes
109,ambitsioon,varjama,saarlane,no
110,linnapea,saatma,määrus,yes
111,määrus,saatma,linnapea,yes
112,tema,määrama,käik,yes
113,käik,määrama,tema,no
114,ajakirjandus,jahtima,arvamus,yes
115,arvamus,jahtima,ajakirjandus,no
116,mina,võtma,kroon,yes
117,kroon,võtma,mina,no
118,mees,lootma,otsus,yes
119,otsus,lootma,mees,no
120,filiaal,tooma,tulu,yes
121,tulu,tooma,filiaal,no
122,suvi,veetma,Hans,no
123,Hans,veetma,suvi,yes
124,aasta,muserdama,moraal,yes
125,moraal,muserdama,aasta,no
126,asjaolu,andma,tunnistus,yes
127,tunnistus,andma,asjaolu,no
128,ettevõtja,tundma,huvi,yes
129,huvi,tundma,ettevõtja,no
130,kes,teadma,see,yes
131,see,teadma,kes,no
132,tema,treenima,ise,yes
133,ise,treenima,tema,yes
134,tema,kinnitama,valmisolek,yes
135,valmisolek,kinnitama,tema,no
136,neiu,tõmbama,joon,yes
137,joon,tõmbama,neiu,no
138,kapten,laskma,saatus,yes
139,saatus,laskma,kapten,no
140,kell,aeglustama,käik,yes
141,käik,aeglustama,kell,no
142,sina,saama,käsi,yes
143,käsi,saama,sina,no
144,lähedane,tundma,see,yes
145,see,tundma,lähedane,yes
146,tema,kasvatama,tütar,yes
147,tütar,kasvatama,tema,yes
148,ministeerium,kulutama,kroon,yes
149,kroon,kulutama,ministeerium,no
150,lähenemisviis,seadma,riik,no
151,riik,seadma,lähenemisviis,no
152,surve,tooma,vahetumine,yes
153,vahetumine,tooma,surve,yes
154,siseminister,premeerima,tema,yes
155,tema,premeerima,siseminister,yes
156,Ühendriik,otsima,võimalus,yes
157,võimalus,otsima,Ühendriik,no
158,Toomas,suutma,see,yes
159,see,suutma,Toomas,yes
160,Konstantin,asutama,talitus,yes
161,talitus,asutama,Konstantin,no
162,tema,võtma,kassett,yes
