,sentence,subject,object,hinnang
0,Keemiainseneri ja rahandusspetsialisti haridusega ***** pani oma varandusele ***** õndsat komsomoliorganisatsiooni teenides .,Hodorkovski,alune,yes
1,Keemiainseneri ja rahandusspetsialisti haridusega ***** pani oma varandusele ***** õndsat komsomoliorganisatsiooni teenides .,alune,Hodorkovski,no
2,Seepärast veeretavad ***** ***** automaksu peale - seda maksu kogub kohalik omavalitsus .,tema,pall,no
3,Seepärast veeretavad ***** ***** automaksu peale - seda maksu kogub kohalik omavalitsus .,pall,tema,no
4,"Seda ***** soodustavad ka ***** , millega ta tegeleb - üks range nõudmine , revisjon ja arvepidamine teise järel .",teema,mulje,yes
5,"Seda ***** soodustavad ka ***** , millega ta tegeleb - üks range nõudmine , revisjon ja arvepidamine teise järel .",mulje,teema,no
6,Minu ***** hoiab ***** väga .,jumal,mina,yes
7,Minu ***** hoiab ***** väga .,mina,jumal,no
8,Nii meie väga lugupeetud ***** Meri kui ka Välisministeeriumi usinad ametnikud kiitsid ahvikiirusel heaks ameeriklaste ***** Pärsia lahe piirkonnas .,president,pommitamine,yes
9,Nii meie väga lugupeetud ***** Meri kui ka Välisministeeriumi usinad ametnikud kiitsid ahvikiirusel heaks ameeriklaste ***** Pärsia lahe piirkonnas .,pommitamine,president,no
10,“ ***** ei lase kodumaise tööstuse toetamise pärast ***** alla .,mina,hind,yes
11,“ ***** ei lase kodumaise tööstuse toetamise pärast ***** alla .,hind,mina,no
12,” Finaali ***** ületas kõik mu ***** .,pääsemine,ootus,yes
13,” Finaali ***** ületas kõik mu ***** .,ootus,pääsemine,no
14,***** pakub kummalisi ***** .,ajalugu,näide,yes
15,***** pakub kummalisi ***** .,näide,ajalugu,no
16,***** Laos juhatab kannatamatud ***** mööda maja otsaseina kulgevat puutreppi pööningukambrisse .,proua,külaline,yes
17,***** Laos juhatab kannatamatud ***** mööda maja otsaseina kulgevat puutreppi pööningukambrisse .,külaline,proua,yes
18,"Kui te kunagi tippspordist loobute , ***** ***** siis teete ?",sina,mis,yes
19,"Kui te kunagi tippspordist loobute , ***** ***** siis teete ?",mis,sina,no
20,H . K : ***** ei sega ***** ja maal läheb oma rada edasi .,üks,teine,yes
21,H . K : ***** ei sega ***** ja maal läheb oma rada edasi .,teine,üks,no
22,Nüüd ***** enam protsendiga ***** ei anna .,mina,laen,yes
23,Nüüd ***** enam protsendiga ***** ei anna .,laen,mina,no
24,"Olümpia ***** , kus kapitalistide lapsed ööbisid , jättis talle masendava ***** .",hotell,mulje,yes
25,"Olümpia ***** , kus kapitalistide lapsed ööbisid , jättis talle masendava ***** .",mulje,hotell,no
26,"Ühiskonna ***** erutas ***** jätkuvalt , Westholm kuulus näiteks Riigikogu esimesse , teise , kolmandasse ja neljandasse koosseisu , osales Tallinna volikogu töös jne .",areng,tema,yes
27,"Ühiskonna ***** erutas ***** jätkuvalt , Westholm kuulus näiteks Riigikogu esimesse , teise , kolmandasse ja neljandasse koosseisu , osales Tallinna volikogu töös jne .",tema,areng,no
28,“ Viimse reliikvia ” ***** mahutab endas ***** - Lennart Merist Eve Kivini .,legend,kõik,yes
29,“ Viimse reliikvia ” ***** mahutab endas ***** - Lennart Merist Eve Kivini .,kõik,legend,no
30,"Tema ***** Kristel Loide ( 20 ) tõi 9. mail Pelgulinna sünnitusmajas ilmale ***** , kes sai nimeks Villem Richard .",elukaaslane,beebi,yes
31,"Tema ***** Kristel Loide ( 20 ) tõi 9. mail Pelgulinna sünnitusmajas ilmale ***** , kes sai nimeks Villem Richard .",beebi,elukaaslane,no
32,"Aga ***** huvitavad suured ***** ja teise sisse minek ( vaim-selt ! ) , neil pole varakapitalistliku kõhulahtisuse perioodil mingit pidu .",inimsuhe,kes,yes
33,"Aga ***** huvitavad suured ***** ja teise sisse minek ( vaim-selt ! ) , neil pole varakapitalistliku kõhulahtisuse perioodil mingit pidu .",kes,inimsuhe,no
34,***** on jaganud nii ***** Madeleine Albright kui ka kaitseminister William Cohen .,välisminister,selgitus,yes
35,***** on jaganud nii ***** Madeleine Albright kui ka kaitseminister William Cohen .,selgitus,välisminister,no
36,***** tegi Eestiski ***** tavakodanikule kättesaadavaks .,taasiseseisvumine,tulirelv,yes
37,***** tegi Eestiski ***** tavakodanikule kättesaadavaks .,tulirelv,taasiseseisvumine,no
38,***** kergendab ka poliitikute ***** .,see,süda,yes
39,***** kergendab ka poliitikute ***** .,süda,see,no
40,“ ***** hoidis ***** väga .,ema,mina,yes
41,“ ***** hoidis ***** väga .,mina,ema,no
42,"Kohe seejärel lükkasid juudiriigi armee ***** kättemaksuks kokku mõned ***** Gazas ning siis jõudis ka Islamidžihaadil kätte aeg teatada , et otsus peatada rünnakud Iisraeli vastu oli eksitus .",buldooser,maja,yes
